Delegate,Scrambles,E[Moves],4 moves,5 moves,6 moves,7 moves,8 moves,9 moves,10 moves,11 moves
Jorge Miguel Trigo,476,8.7,0,1,8,34,126,231,75,1
Nestor Sanchez,469,8.85,0,2,5,26,99,234,103,0
Éder dos Santos Silva,469,8.81,0,0,5,20,122,233,89,0
Maria Zhits,462,8.75,0,1,6,31,121,214,89,0
Radu Făciu,455,8.67,0,4,6,37,109,232,67,0
Trịnh Nguyên Anh,454,8.83,0,0,2,21,111,236,84,0
Casey Tharpe,448,8.76,0,1,6,26,104,242,69,0
Brendan James Gray,448,8.8,0,0,3,33,98,230,84,0
Adam Walker,441,8.83,0,2,4,18,98,242,75,2
Petra Kobal Vogrinec,434,8.72,0,1,6,31,99,236,61,0
Serhii Mormul (Сергій Мормуль),63,8.62,0,0,1,2,21,35,4,0
